route,algorithm,time_to_reach_goal,path_length,cumulative_heading_changes,avg_distance_to_closest_person,minimum_distance_to_people,completed,minimum_distance_to_target,final_distance_to_target,robot_on_person_collision,person_on_robot_collision,time_not_moving,avg_robot_linear_speed,avg_robot_angular_speed,avg_robot_acceleration,avg_robot_jerk
route_1,random,20.022,8.486,2.178,3.35,0.844,10,0.323,0.324,0.1,0.1,0.25,0.415,0.124,0.213,0.641
route_1,no_req,20.433,8.482,2.002,3.02,0.369,10,0.323,0.323,0.2,0.2,0.249,0.41,0.103,0.174,0.98
route_1,distance,20.432,8.491,2.222,0.666,0.007,10,0.329,0.329,3.7,2.6,0.299,0.408,0.117,0.379,1.159
route_1,jerk,20.252,8.472,2.02,2.626,0.237,10,0.32,0.32,0.3,0.9,0.248,0.411,0.104,0.367,1.371
route_1,reach,21.024,8.477,2.249,3.065,0.349,10,0.313,0.292,0.4,0.4,0.35,0.4,0.113,0.241,0.899
route_2,random,21.153,9.279,1.236,4.095,0.846,10,0.038,0.0,0.0,0.2,0.35,0.431,0.062,0.115,0.513
route_2,no_req,21.585,9.279,1.345,3.717,0.787,10,0.042,0.0,0.1,0.8,0.299,0.422,0.068,0.18,0.613
route_2,distance,21.912,9.398,2.072,0.809,0.0,10,0.062,0.0,1.9,3.8,0.351,0.425,0.1,0.209,0.679
route_2,jerk,21.966,9.366,1.813,1.845,0.145,10,0.048,0.0,1.0,1.9,0.449,0.421,0.089,0.281,1.354
route_2,reach,23.024,9.507,2.444,2.074,0.0,10,0.072,0.0,0.2,3.2,0.249,0.407,0.116,0.179,0.514
route_3,random,21.002,8.554,1.804,4.133,0.852,10,0.283,0.284,0.4,0.4,0.298,0.402,0.098,0.13,0.77
route_3,no_req,21.695,8.136,2.275,1.95,0.013,9,0.737,0.739,0.7,3.4,1.849,0.373,0.112,0.267,0.949
route_3,distance,22.206,8.934,2.837,0.39,0.0,10,0.279,0.207,8.0,4.7,0.25,0.397,0.136,0.262,0.759
route_3,jerk,21.787,8.941,3.051,1.863,0.078,10,0.293,0.294,1.8,3.3,0.399,0.403,0.145,0.412,2.239
route_3,reach,22.066,8.822,2.615,2.866,0.517,9,0.259,0.172,0.6,1.4,0.299,0.396,0.127,0.216,0.764
route_4,random,24.176,10.962,0.871,4.349,1.097,10,0.355,0.355,0.1,0.0,0.151,0.451,0.038,0.156,0.52
route_4,no_req,23.958,10.996,1.036,3.433,0.306,10,0.351,0.351,1.2,1.0,0.301,0.456,0.043,0.245,0.89
route_4,distance,24.398,11.118,2.034,1.432,0.049,10,0.349,0.326,1.3,1.9,0.351,0.45,0.093,0.216,2.742
route_4,jerk,23.965,11.049,1.427,2.541,0.347,10,0.321,0.321,0.9,1.7,0.15,0.453,0.063,0.425,2.698
route_4,reach,24.606,11.016,1.506,2.801,0.335,10,0.348,0.348,0.8,1.7,0.15,0.446,0.065,0.227,1.046
route_5,random,31.057,14.354,0.764,4.952,0.873,10,0.361,0.361,0.5,0.6,0.05,0.467,0.027,0.122,0.608
route_5,no_req,31.189,14.411,1.386,3.226,0.145,10,0.375,0.375,3.5,2.2,0.201,0.459,0.046,0.134,1.636
route_5,distance,32.049,14.656,1.969,1.501,0.0,9,0.385,0.385,5.3,3.8,0.2,0.456,0.061,0.097,0.779
route_5,jerk,31.148,14.441,1.311,3.151,0.146,10,0.352,0.352,1.0,2.4,0.2,0.463,0.045,0.292,1.221
route_5,reach,33.217,14.505,2.194,1.968,0.0,9,0.392,0.392,5.8,4.9,0.3,0.441,0.072,0.21,0.798
